ID,X座標,Y座標,球標角度,尺寸公差
1~3,290.06,578.89,0.0,ppk, 3-360.20±0.15
4~6,81.22,340.52,90.0,ppk, 3-218.85±0.15
7~9,89.18,518.32,0.0,3-1.30±0.05
8,675.06,394.96,90.0,18.40
10~12,555.52,551.60,0.0,3-1.30±0.05
13~23,130.01,318.74,90.0,11-1.30±0.05
24~25,130.71,371.91,0.0,2-1.10±0.05
26~27,552.99,374.01,0.0,2-1.10±0.05
28,354.16,500.81,90.0,3.25±0.10
29~32,635.12,383.84,0.0,4-10.58±0.10
33~46,646.59,538.84,0.0,14-7.10±0.10
47~48,567.28,517.86,0.0,2-4.10±0.10
49,303.44,564.38,0.0,359.60±0.15
50,93.03,350.93,90.0,206.70±0.15
51~53,89.37,687.66,90.0,3-0.32±0.10,LED TO LGP GAP
54~55,923.17,515.09,0.0,2-1.40±0.10
56,949.60,526.92,0.0,16.90±0.15
57,949.56,538.92,0.0,23.10±0.15
58,950.75,550.92,0.0,43.60±0.15
59,960.30,574.92,0.0,123.75±0.15
60,958.77,586.92,0.0,126.80±0.15
61,933.87,598.92,0.0,176.60±0.15
62~63,923.28,610.91,0.0,2-188.50±0.15
64,905.47,622.92,0.0,233.40±0.15
65~66,874.28,634.91,0.0,2-286.50±0.15
67,863.87,646.92,0.0,316.60±0.15
68,853.62,658.92,0.0,337.10±0.15
69,850.52,670.92,0.0,343.30±0.15
70~71,838.13,682.91,0.0,2-358.80±0.15
72,1070.24,507.55,0.0,∅3.20±0.05
73,622.93,473.80,0.0,∅3.20±0.05
74,1061.67,270.77,0.0,13.10±0.15
75,1061.67,258.77,0.0,77.10±0.15
76,949.12,246.77,0.0,146.10±0.15
77,915.12,234.77,0.0,214.10±0.15
78,880.62,222.77,0.0,283.10±0.15
79,848.62,210.77,0.0,347.10±0.15
80~85,1066.73,343.90,90.0,6-1.40±0.15
86~87,1078.73,344.52,90.0,2-69.50±0.15
88~89,1090.73,307.50,90.0,2-133.00±0.15
90~91,1102.73,310.75,90.0,2-139.50±0.15
92~93,1114.73,319.00,90.0,2-156.00±0.15
94~97,1126.73,327.01,90.0,4-172.02±0.15
98~103,1150.73,347.05,90.0,6-214.50±0.15
104~107,750.31,136.67,90.0,4-6.00
109~112,1022.48,164.60,90.0,4-3.50

【警告】發現重複出現或被範圍重疊涵蓋的球標號碼: [8]
【警告】發現缺號/遺失的球標 (1 ~ 112):[108]
