==========================================
📂 正在稽核檔案: test.txt
==========================================
🔍 捕捉到 70 個數字球標與 348 個文字碎片，執行空間配對...

📋 【球標與尺寸對應詳細清單】
ID       | X 座標     | Y 座標     | 匹配結果                 | 軌道候選碎片
--------------------------------------------------------------------------------------------------------------
1~3      | 271.0    | 578.9    | 3-359.60 360.20 3-<> ± ± 0.15 0.15 | 'PPK'(X:297.784,Y:579.142) -> '3-'(X:311.441,Y:576.769) -> '359.60'(X:325.841,Y:562.935) -> '360.20'(X:330.641,Y:576.769) -> '3-<>'(X:338.941,Y:575.269) -> '`'(X:343.741,Y:562.935) -> '`'(X:348.541,Y:576.769) -> '0.15'(X:356.841,Y:562.935) -> '0.15'(X:361.641,Y:576.769)
4~6      | 81.2     | 321.4    | 3-218.85 3-<> ± 0.15 | '3-'(X:83.332,Y:361.904) -> '218.85'(X:83.332,Y:381.104) -> '3-<>'(X:84.832,Y:389.404) -> '`'(X:83.332,Y:399.004) -> '0.15'(X:83.332,Y:412.104)
7~9      | 70.1     | 518.3    | 3-3-<> 1.30 ± 0.05 3.25 | '3-'(X:105.416,Y:516.89) -> '3-<>'(X:123.316,Y:515.39) -> '1.30'(X:124.616,Y:516.89) -> '`'(X:131.616,Y:516.89) -> '0.05'(X:150.816,Y:516.89) -> 'XSEC0001'(X:237.047,Y:508.432) -> '3.25'(X:355.602,Y:508.805)
8        | 675.1    | 395.0    | 18.40 ± 0.10         | '18.40'(X:676.505,Y:427.578) -> '`'(X:667.792,Y:483.946) -> '0.10'(X:666.277,Y:527.59)
10~12    | 536.4    | 551.6    | 1.30 3-<> ± 0.05     | '1.30'(X:538.667,Y:541.361) -> '3-<>'(X:556.567,Y:539.861) -> '`'(X:557.867,Y:541.361) -> '0.05'(X:564.867,Y:541.361)
13~23    | 130.0    | 299.7    | 1.30 11-11-<> ± 0.05 2-<> 1.10 ± 3-<> 1.30 ± 2 | '1.30'(X:140.744,Y:300.513) -> '11-'(X:140.744,Y:286.113) -> '11-<>'(X:142.244,Y:316.013) -> '`'(X:140.744,Y:319.713) -> '0.05'(X:140.744,Y:326.713) -> '2-<>'(X:126.972,Y:359.678) -> '1.10'(X:128.272,Y:361.178) -> '`'(X:135.272,Y:361.178) -> '3-<>'(X:123.316,Y:515.39) -> '1.30'(X:124.616,Y:516.89) -> '`'(X:131.616,Y:516.89) -> '2'(X:129.834,Y:16.902)
24~25    | 111.6    | 371.9    | 2-2-<> 1.10 ± 0.05   | '2-'(X:109.072,Y:361.178) -> '2-<>'(X:126.972,Y:359.678) -> '1.10'(X:128.272,Y:361.178) -> '`'(X:135.272,Y:361.178) -> '0.05'(X:154.472,Y:361.178)
26~27    | 533.9    | 374.0    | 1.10 2-<> ± 0.05 4-10.58 4-<> ± 0.10 | '1.10'(X:538.274,Y:362.975) -> '2-<>'(X:556.174,Y:361.475) -> '`'(X:557.474,Y:362.975) -> '0.05'(X:564.474,Y:362.975) -> '4-'(X:614.606,Y:370.738) -> '10.58'(X:624.206,Y:370.738) -> '4-<>'(X:644.506,Y:369.238) -> '`'(X:648.206,Y:370.738) -> '0.10'(X:655.206,Y:370.738)
28       | 354.2    | 500.8    | 3.25 ± 0.10 0.15 ± 0.15 | '3.25'(X:355.602,Y:508.805) -> '`'(X:355.602,Y:528.005) -> '0.10'(X:355.602,Y:535.005) -> '0.15'(X:356.841,Y:562.935) -> '`'(X:348.541,Y:576.769) -> '0.15'(X:361.641,Y:576.769)
29~32    | 616.0    | 383.9    | 4-10.58 4-<> ± 0.10  | '4-'(X:614.606,Y:370.738) -> '10.58'(X:624.206,Y:370.738) -> '4-<>'(X:644.506,Y:369.238) -> '`'(X:648.206,Y:370.738) -> '0.10'(X:655.206,Y:370.738)
33~46    | 627.5    | 538.9    | 14-7.10 14-<> ± 0.10 | '14-'(X:625.677,Y:527.59) -> '7.10'(X:640.077,Y:527.59) -> '14-<>'(X:655.577,Y:526.09) -> '`'(X:659.277,Y:527.59) -> '0.10'(X:666.277,Y:527.59)
47~48    | 548.2    | 517.9    | 2-2-<> 4.10 ± 0.10   | '2-'(X:557.247,Y:507.321) -> '2-<>'(X:575.147,Y:505.821) -> '4.10'(X:576.447,Y:507.321) -> '`'(X:583.447,Y:507.321) -> '0.10'(X:602.647,Y:507.321)
49       | 303.4    | 564.4    | 359.60 ± 0.15        | '359.60'(X:325.841,Y:562.935) -> '`'(X:343.741,Y:562.935) -> '0.15'(X:356.841,Y:562.935)
50       | 93.0     | 350.9    | 3-218.85 3-<> ± ± 0.15 0.15 | '3-'(X:83.332,Y:361.904) -> '218.85'(X:83.332,Y:381.104) -> '3-<>'(X:84.832,Y:389.404) -> '`'(X:94.471,Y:391.229) -> '`'(X:83.332,Y:399.004) -> '0.15'(X:94.471,Y:404.329) -> '0.15'(X:83.332,Y:412.104)
51~53    | 89.4     | 668.6    | 0.15 0.15 ± ± 3-<> 218.85 | '0.15'(X:83.332,Y:412.104) -> '0.15'(X:94.471,Y:404.329) -> '`'(X:83.332,Y:399.004) -> '`'(X:94.471,Y:391.229) -> '3-<>'(X:84.832,Y:389.404) -> '218.85'(X:83.332,Y:381.104)
54~55    | 904.1    | 515.1    | 2-2-<> 1.40 ± 0.10 3.20 Ø<> ± 0.05 | '2-'(X:942.736,Y:513.479) -> '2-<>'(X:960.636,Y:511.979) -> '1.40'(X:961.936,Y:513.479) -> '`'(X:968.936,Y:513.479) -> '0.10'(X:988.136,Y:513.479) -> '3.20'(X:1090.446,Y:508.895) -> '%%c<>'(X:1107.957,Y:516.11) -> '`'(X:1109.132,Y:513.305) -> '0.05'(X:1115.945,Y:514.913)
56       | 949.6    | 526.9    | 2-<> 1.40 ± 16.90 0.10 ± 0.15 Ø<> ± 0.05 | '2-<>'(X:960.636,Y:511.979) -> '1.40'(X:961.936,Y:513.479) -> '`'(X:968.936,Y:513.479) -> '16.90'(X:981.6,Y:525.479) -> '0.10'(X:988.136,Y:513.479) -> '`'(X:988.6,Y:525.479) -> '0.15'(X:1007.8,Y:525.479) -> '%%c<>'(X:1107.957,Y:516.11) -> '`'(X:1109.132,Y:513.305) -> '0.05'(X:1115.945,Y:514.913)
57       | 949.6    | 538.9    | 23.10 16.90 ± ± 0.15 0.15 | '23.10'(X:981.559,Y:537.479) -> '16.90'(X:981.6,Y:525.479) -> '`'(X:988.559,Y:537.479) -> '`'(X:988.6,Y:525.479) -> '0.15'(X:1007.759,Y:537.479) -> '0.15'(X:1007.8,Y:525.479)
58       | 950.7    | 550.9    | 23.10 43.60 ± ± 0.15 0.15 | '23.10'(X:981.559,Y:537.479) -> '43.60'(X:982.744,Y:549.479) -> '`'(X:988.559,Y:537.479) -> '`'(X:989.744,Y:549.479) -> '0.15'(X:1007.759,Y:537.479) -> '0.15'(X:1008.944,Y:549.479) -> 'F'(X:1167.707,Y:543.17)
59       | 960.3    | 574.9    | ( (<>,FPC) 123.75 45.07 ± ,FPC) 0.15 | '('(X:960.695,Y:561.479) -> '(<>,FPC)'(X:982.295,Y:559.979) -> '123.75'(X:982.693,Y:573.479) -> '45.07'(X:984.695,Y:561.479) -> '`'(X:1000.593,Y:573.479) -> ',FPC)'(X:1008.695,Y:561.479) -> '0.15'(X:1013.693,Y:573.479)
60       | 958.8    | 586.9    | 126.80 123.75 ± ± 0.15 0.15 | '126.80'(X:981.168,Y:585.479) -> '123.75'(X:982.693,Y:573.479) -> '`'(X:999.068,Y:585.479) -> '`'(X:1000.593,Y:573.479) -> '0.15'(X:1012.168,Y:585.479) -> '0.15'(X:1013.693,Y:573.479)
61       | 933.9    | 598.9    | 176.60 ± 126.80 0.15 ± 0.15 | '176.60'(X:956.268,Y:597.479) -> '`'(X:974.168,Y:597.479) -> '126.80'(X:981.168,Y:585.479) -> '0.15'(X:987.268,Y:597.479) -> '`'(X:999.068,Y:585.479) -> '0.15'(X:1012.168,Y:585.479) -> 'E'(X:1167.707,Y:592.73)
62~63    | 904.2    | 610.9    | 2-188.50 176.60 2-<> ± ± 0.15 0.15 | '2-'(X:935.918,Y:609.479) -> '188.50'(X:955.118,Y:609.479) -> '176.60'(X:956.268,Y:597.479) -> '2-<>'(X:963.418,Y:607.979) -> '`'(X:973.018,Y:609.479) -> '`'(X:974.168,Y:597.479) -> '0.15'(X:986.118,Y:609.479) -> '0.15'(X:987.268,Y:597.479)
64       | 905.5    | 622.9    | 233.40 2- ± 188.50 0.15 2-<> ± 0.15 | '233.40'(X:927.868,Y:621.479) -> '2-'(X:935.918,Y:609.479) -> '`'(X:945.768,Y:621.479) -> '188.50'(X:955.118,Y:609.479) -> '0.15'(X:958.868,Y:621.479) -> '2-<>'(X:963.418,Y:607.979) -> '`'(X:973.018,Y:609.479) -> '0.15'(X:986.118,Y:609.479)
65~66    | 855.2    | 634.9    | 2-286.50 2-<> ± 233.40 0.15 ± 0.15 | '2-'(X:886.918,Y:633.479) -> '286.50'(X:906.118,Y:633.479) -> '2-<>'(X:914.418,Y:631.979) -> '`'(X:924.018,Y:633.479) -> '233.40'(X:927.868,Y:621.479) -> '0.15'(X:937.118,Y:633.479) -> '`'(X:945.768,Y:621.479) -> '0.15'(X:958.868,Y:621.479)
67       | 863.9    | 646.9    | 316.60 2- ± 286.50 2-<> 0.15 ± 0.15 | '316.60'(X:886.268,Y:645.479) -> '2-'(X:886.918,Y:633.479) -> '`'(X:904.168,Y:645.479) -> '286.50'(X:906.118,Y:633.479) -> '2-<>'(X:914.418,Y:631.979) -> '0.15'(X:917.268,Y:645.479) -> '`'(X:924.018,Y:633.479) -> '0.15'(X:937.118,Y:633.479)
68       | 853.6    | 658.9    | 337.10 316.60 ± ± 0.15 0.15 | '337.10'(X:876.018,Y:657.479) -> '316.60'(X:886.268,Y:645.479) -> '`'(X:893.918,Y:657.479) -> '`'(X:904.168,Y:645.479) -> '0.15'(X:907.018,Y:657.479) -> '0.15'(X:917.268,Y:645.479)
69       | 850.5    | 670.9    | 343.30 337.10 ± ± 0.15 0.15 | '343.30'(X:872.918,Y:669.479) -> '337.10'(X:876.018,Y:657.479) -> '`'(X:890.818,Y:669.479) -> '`'(X:893.918,Y:657.479) -> '0.15'(X:903.918,Y:669.479) -> '0.15'(X:907.018,Y:657.479)
70~71    | 819.0    | 682.9    | 2-358.80 343.30 2-<> ± ± 0.15 0.15 | '2-'(X:850.768,Y:681.479) -> '358.80'(X:869.968,Y:681.479) -> '343.30'(X:872.918,Y:669.479) -> '2-<>'(X:878.268,Y:679.979) -> '`'(X:887.868,Y:681.479) -> '`'(X:890.818,Y:669.479) -> '0.15'(X:900.968,Y:681.479) -> '0.15'(X:903.918,Y:669.479)
72       | 1070.2   | 507.6    | 3.20                 | 'n'(X:1082.66,Y:507.057) -> '3.20'(X:1090.446,Y:508.895) -> 'G'(X:1167.707,Y:493.61)
73       | 622.9    | 473.8    | N/A                  | 'n'(X:642.591,Y:476.781)
74       | 1061.7   | 270.8    | 13.10 ± ± 0.15 0.15  | '13.10'(X:1069.668,Y:269.329) -> '`'(X:1093.668,Y:269.329) -> '`'(X:1093.668,Y:257.329) -> '0.15'(X:1100.668,Y:269.329) -> '0.15'(X:1100.668,Y:257.329)
75       | 1061.7   | 258.8    | 77.10 ± 0.15         | '77.10'(X:1069.668,Y:257.329) -> '`'(X:1093.668,Y:257.329) -> '0.15'(X:1100.668,Y:257.329) -> 'L'(X:1167.707,Y:245.81)
76       | 949.1    | 246.8    | ± 0.15 146.10 ± 0.15 | '`'(X:955.418,Y:233.329) -> '0.15'(X:968.518,Y:233.329) -> '146.10'(X:971.518,Y:245.329) -> '`'(X:989.418,Y:245.329) -> '0.15'(X:1002.518,Y:245.329) -> 'L'(X:1167.707,Y:245.81)
77       | 915.1    | 234.8    | ± 0.15 214.10 ± 0.15 | '`'(X:920.918,Y:221.329) -> '0.15'(X:934.018,Y:221.329) -> '214.10'(X:937.518,Y:233.329) -> '`'(X:955.418,Y:233.329) -> '0.15'(X:968.518,Y:233.329)
78       | 880.6    | 222.8    | ± 0.15 283.10 ± 0.15 | '`'(X:888.918,Y:209.329) -> '0.15'(X:902.018,Y:209.329) -> '283.10'(X:903.018,Y:221.329) -> '`'(X:920.918,Y:221.329) -> '0.15'(X:934.018,Y:221.329)
79       | 848.6    | 210.8    | 347.10 ± 0.15        | '347.10'(X:871.018,Y:209.329) -> '`'(X:888.918,Y:209.329) -> '0.15'(X:902.018,Y:209.329)
80~85    | 1066.7   | 324.8    | 6- 1.40 6-<> ± 0.15 4-M2 Standoff ~ | '6-'(X:1068.168,Y:351.735) -> '1.40'(X:1068.168,Y:361.335) -> '6-<>'(X:1069.668,Y:379.235) -> '`'(X:1068.168,Y:380.535) -> '0.15'(X:1068.168,Y:387.535) -> '4-M2 Standoff'(X:1067.204,Y:464.856) -> 'N'(X:1068.766,Y:47.447) -> 'PPK'(X:1072.636,Y:47.398) -> '~'(X:1057.758,Y:25.518)
86~87    | 1078.7   | 325.4    | 2-69.50 6-<> 2-<> ± 0.15 PPK DIMENSION APPROVED CHECKED DESIGNED | '2-'(X:1080.168,Y:352.357) -> '69.50'(X:1080.168,Y:361.957) -> '6-<>'(X:1069.668,Y:379.235) -> '2-<>'(X:1081.668,Y:382.257) -> '`'(X:1080.168,Y:385.957) -> '0.15'(X:1080.168,Y:392.957) -> 'N'(X:1068.766,Y:47.447) -> 'PPK DIMENSION'(X:1077.402,Y:47.429) -> 'PPK'(X:1072.636,Y:47.398) -> 'APPROVED'(X:1079.902,Y:40.752) -> 'CHECKED'(X:1079.902,Y:33.752) -> 'DESIGNED'(X:1079.902,Y:26.752)
88~89    | 1090.7   | 288.4    | ± 0.15 ± 0.15 2-133.00 2-<> ± 0.15 2-<> 3.20 CONTROL DIMENSION | '`'(X:1093.668,Y:269.329) -> '0.15'(X:1100.668,Y:269.329) -> '`'(X:1093.668,Y:257.329) -> '0.15'(X:1100.668,Y:257.329) -> '2-'(X:1092.168,Y:320.129) -> '133.00'(X:1092.168,Y:339.329) -> '2-<>'(X:1093.668,Y:347.629) -> '`'(X:1092.168,Y:357.229) -> '0.15'(X:1092.168,Y:370.329) -> '2-<>'(X:1081.668,Y:382.257) -> '3.20'(X:1090.446,Y:508.895) -> 'N'(X:1094.205,Y:47.46) -> 'CONTROL DIMENSION'(X:1097.626,Y:47.309)
90~91    | 1102.7   | 291.7    | ± 0.15 2- ± 0.15 139.50 2-<> 2-<> ± 0.15 ± Ø<> CONTROL DIMENSION Jemmy Chang Samuel Lin Daniel Kuo | '`'(X:1093.668,Y:269.329) -> '0.15'(X:1100.668,Y:269.329) -> '2-'(X:1104.168,Y:323.379) -> '`'(X:1093.668,Y:257.329) -> '0.15'(X:1100.668,Y:257.329) -> '139.50'(X:1104.168,Y:342.579) -> '2-<>'(X:1093.668,Y:347.629) -> '2-<>'(X:1105.668,Y:350.879) -> '`'(X:1104.168,Y:360.479) -> '0.15'(X:1104.168,Y:373.579) -> '`'(X:1109.132,Y:513.305) -> '%%c<>'(X:1107.957,Y:516.11) -> 'N'(X:1094.205,Y:47.46) -> 'CONTROL DIMENSION'(X:1097.626,Y:47.309) -> 'Jemmy Chang'(X:1104.652,Y:40.752) -> 'Samuel Lin'(X:1104.652,Y:33.752) -> 'Daniel Kuo'(X:1104.652,Y:26.752)
92~93    | 1114.7   | 299.9    | 2-156.00 2-<> 2-<> ± 0.15 ± 0.05 Ø<> DATE 2025/11/17 PART NUMBER or PDM NUMBER PART DESCRIPTION | '2-'(X:1116.168,Y:331.629) -> '156.00'(X:1116.168,Y:350.829) -> '2-<>'(X:1105.668,Y:350.879) -> '2-<>'(X:1117.668,Y:359.129) -> '`'(X:1116.168,Y:368.729) -> '0.15'(X:1116.168,Y:381.829) -> '`'(X:1109.132,Y:513.305) -> '0.05'(X:1115.945,Y:514.913) -> '%%c<>'(X:1107.957,Y:516.11) -> 'DATE'(X:1117.494,Y:49.824) -> '2025/11/17'(X:1122.152,Y:46.502) -> 'PART NUMBER or PDM NUMBER'(X:1117.494,Y:43.324) -> 'PART DESCRIPTION'(X:1117.494,Y:36.324)
94~97    | 1126.7   | 307.9    | 4-172.02 2-<> 4-<> ± 0.15 SCALE DATE 2025/11/17 1:1 PART NUMBER or PDM NUMBER DN2791036 PART DESCRIPTION assy_blu_A156KCP-E01 16 | '4-'(X:1128.168,Y:339.639) -> '172.02'(X:1128.168,Y:358.839) -> '2-<>'(X:1117.668,Y:359.129) -> '4-<>'(X:1129.668,Y:367.139) -> '`'(X:1128.168,Y:376.739) -> '0.15'(X:1128.168,Y:389.839) -> 'SCALE'(X:1128.494,Y:49.824) -> 'DATE'(X:1117.494,Y:49.824) -> '2025/11/17'(X:1122.152,Y:46.502) -> '1:1'(X:1132.652,Y:46.502) -> 'PART NUMBER or PDM NUMBER'(X:1117.494,Y:43.324) -> 'DN2791036'(X:1135.352,Y:39.502) -> 'PART DESCRIPTION'(X:1117.494,Y:36.324) -> 'assy_blu_A156KCP-E01'(X:1135.352,Y:32.502) -> '16'(X:1128.174,Y:16.902)
